time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
5.14000000,-0.42062669,0.61558395,-0.40476836,0.23306382,0.55353504,0.11181440,-0.36971902,0.27390181,-0.65185626,0.20910358,-0.19282471,-0.64172607,0.30772972,-0.03385634
5.16000000,-0.42176438,0.61585895,-0.40477052,0.23163330,0.55353504,0.11213152,-0.37111079,0.27395598,-0.65250106,0.20912511,-0.19442855,-0.64279303,0.30838875,-0.03378008
5.18000000,-0.42289142,0.61613138,-0.40477265,0.23021616,0.55353504,0.11244567,-0.37248954,0.27400964,-0.65313983,0.20914643,-0.19601738,-0.64385001,0.30904162,-0.03370453
5.20000000,-0.42400756,0.61640117,-0.40477477,0.22881273,0.55353504,0.11275679,-0.37385495,0.27406278,-0.65377242,0.20916755,-0.19759083,-0.64489676,0.30968817,-0.03362972
5.22000000,-0.42511254,0.61666827,-0.40477687,0.22742334,0.55353504,0.11306479,-0.37520671,0.27411539,-0.65439868,0.20918845,-0.19914856,-0.64593304,0.31032826,-0.03355565
5.24000000,-0.42620610,0.61693260,-0.40477894,0.22604830,0.55353504,0.11336961,-0.37654450,0.27416746,-0.65501848,0.20920914,-0.20069019,-0.64695862,0.31096173,-0.03348234
5.26000000,-0.42728801,0.61719412,-0.40478099,0.22468791,0.55353504,0.11367118,-0.37786804,0.27421898,-0.65563166,0.20922961,-0.20221539,-0.64797327,0.31158846,-0.03340982
5.28000000,-0.42835802,0.61745276,-0.40478302,0.22334249,0.55353504,0.11396944,-0.37917701,0.27426992,-0.65623810,0.20924986,-0.20372381,-0.64897676,0.31220828,-0.03333810
5.30000000,-0.42941588,0.61770847,-0.40478503,0.22201234,0.55353504,0.11426431,-0.38047114,0.27432029,-0.65683767,0.20926987,-0.20521512,-0.64996886,0.31282108,-0.03326719
5.32000000,-0.43046138,0.61796119,-0.40478701,0.22069773,0.55353504,0.11455573,-0.38175013,0.27437007,-0.65743022,0.20928965,-0.20668900,-0.65094936,0.31342671,-0.03319711
5.34000000,-0.43149429,0.61821086,-0.40478897,0.21939897,0.55353504,0.11484364,-0.38301372,0.27441925,-0.65801563,0.20930919,-0.20814511,-0.65191805,0.31402505,-0.03312787
5.36000000,-0.43251437,0.61845743,-0.40479091,0.21811631,0.55353504,0.11512798,-0.38426162,0.27446782,-0.65859379,0.20932849,-0.20958317,-0.65287472,0.31461596,-0.03305949
5.38000000,-0.43352143,0.61870086,-0.40479282,0.21685005,0.55353504,0.11540869,-0.38549359,0.27451577,-0.65916455,0.20934755,-0.21100284,-0.65381917,0.31519932,-0.03299199
5.40000000,-0.43451524,0.61894108,-0.40479470,0.21560043,0.55353504,0.11568571,-0.38670936,0.27456309,-0.65972781,0.20936635,-0.21240386,-0.65475120,0.31577502,-0.03292537
5.42000000,-0.43549562,0.61917806,-0.40479656,0.21436772,0.55353504,0.11595898,-0.38790868,0.27460977,-0.66028345,0.20938490,-0.21378592,-0.65567063,0.31634292,-0.03285966
5.44000000,-0.43646234,0.61941173,-0.40479840,0.21315216,0.55353504,0.11622844,-0.38909131,0.27465580,-0.66083136,0.20940319,-0.21514874,-0.65657726,0.31690292,-0.03279486
5.46000000,-0.43741524,0.61964207,-0.40480021,0.21195400,0.55353504,0.11649405,-0.39025701,0.27470117,-0.66137142,0.20942122,-0.21649207,-0.65747091,0.31745491,-0.03273098
5.48000000,-0.43835411,0.61986901,-0.40480199,0.21077347,0.55353504,0.11675576,-0.39140557,0.27474588,-0.66190355,0.20943898,-0.21781563,-0.65835142,0.31799878,-0.03266805
5.50000000,-0.43927879,0.62009252,-0.40480374,0.20961078,0.55353504,0.11701350,-0.39253676,0.27478990,-0.66242762,0.20945647,-0.21911918,-0.65921861,0.31853442,-0.03260607
5.52000000,-0.44018909,0.62031256,-0.40480547,0.20846617,0.55353504,0.11726724,-0.39365037,0.27483325,-0.66294355,0.20947370,-0.22040246,-0.66007232,0.31906174,-0.03254505
5.54000000,-0.44108486,0.62052908,-0.40480717,0.20733984,0.55353504,0.11751693,-0.39474619,0.27487590,-0.66345124,0.20949064,-0.22166526,-0.66091240,0.31958063,-0.03248500
5.56000000,-0.44196593,0.62074206,-0.40480884,0.20623198,0.55353504,0.11776252,-0.39582403,0.27491785,-0.66395060,0.20950731,-0.22290733,-0.66173870,0.32009102,-0.03242594
5.58000000,-0.44283216,0.62095144,-0.40481048,0.20514280,0.55353504,0.11800397,-0.39688371,0.27495909,-0.66444155,0.20952370,-0.22412848,-0.66255107,0.32059280,-0.03236788
5.60000000,-0.44368339,0.62115720,-0.40481210,0.20407247,0.55353504,0.11824124,-0.39792505,0.27499962,-0.66492400,0.20953981,-0.22532849,-0.66334939,0.32108590,-0.03231082
5.62000000,-0.44451949,0.62135930,-0.40481368,0.20302116,0.55353504,0.11847430,-0.39894788,0.27503943,-0.66539787,0.20955563,-0.22650716,-0.66413351,0.32157023,-0.03225478
5.64000000,-0.44534032,0.62155771,-0.40481524,0.20198904,0.55353504,0.11870310,-0.39995204,0.27507852,-0.66586309,0.20957116,-0.22766432,-0.66490331,0.32204572,-0.03219976
5.66000000,-0.44614577,0.62175240,-0.40481677,0.20097628,0.55353504,0.11892761,-0.40093737,0.27511687,-0.66631959,0.20958640,-0.22879979,-0.66565869,0.32251230,-0.03214576
5.68000000,-0.44693572,0.62194335,-0.40481827,0.19998300,0.55353504,0.11914780,-0.40190375,0.27515448,-0.66676731,0.20960134,-0.22991341,-0.66639953,0.32296989,-0.03209281
5.70000000,-0.44771006,0.62213052,-0.40481974,0.19900935,0.55353504,0.11936364,-0.40285102,0.27519135,-0.66720617,0.20961599,-0.23100502,-0.66712573,0.32341845,-0.03204091
5.72000000,-0.44846869,0.62231390,-0.40482118,0.19805545,0.55353504,0.11957510,-0.40377908,0.27522747,-0.66763614,0.20963034,-0.23207448,-0.66783720,0.32385790,-0.03199006
5.74000000,-0.44921151,0.62249345,-0.40482258,0.19712143,0.55353504,0.11978216,-0.40468780,0.27526284,-0.66805715,0.20964440,-0.23312167,-0.66853384,0.32428821,-0.03194026
5.76000000,-0.44993845,0.62266917,-0.40482396,0.19620738,0.55353504,0.11998479,-0.40557709,0.27529745,-0.66846915,0.20965815,-0.23414645,-0.66921559,0.32470930,-0.03189154
5.78000000,-0.45064943,0.62284102,-0.40482531,0.19531341,0.55353504,0.12018297,-0.40644684,0.27533130,-0.66887211,0.20967160,-0.23514874,-0.66988236,0.32512115,-0.03184388
5.80000000,-0.45134437,0.62300900,-0.40482663,0.19443959,0.55353504,0.12037667,-0.40729699,0.27536439,-0.66926597,0.20968475,-0.23612842,-0.67053410,0.32552372,-0.03179730
5.82000000,-0.45202322,0.62317310,-0.40482792,0.19358601,0.55353504,0.12056590,-0.40812745,0.27539671,-0.66965072,0.20969760,-0.23708542,-0.67117075,0.32591696,-0.03175179
5.84000000,-0.45268593,0.62333328,-0.40482918,0.19275273,0.55353504,0.12075062,-0.40893816,0.27542827,-0.67002632,0.20971013,-0.23801966,-0.67179226,0.32630085,-0.03170737
5.86000000,-0.45333245,0.62348956,-0.40483040,0.19193979,0.55353504,0.12093083,-0.40972908,0.27545905,-0.67039275,0.20972237,-0.23893108,-0.67239859,0.32667536,-0.03166403
5.88000000,-0.45396275,0.62364192,-0.40483160,0.19114725,0.55353504,0.12110653,-0.41050015,0.27548906,-0.67074998,0.20973429,-0.23981964,-0.67298971,0.32704048,-0.03162178
5.90000000,-0.45457682,0.62379035,-0.40483276,0.19037513,0.55353504,0.12127769,-0.41125135,0.27551830,-0.67109801,0.20974591,-0.24068531,-0.67356560,0.32739619,-0.03158062
5.92000000,-0.45517462,0.62393485,-0.40483390,0.18962346,0.55353504,0.12144432,-0.41198267,0.27554676,-0.67143683,0.20975722,-0.24152805,-0.67412624,0.32774249,-0.03154055
5.94000000,-0.45575616,0.62407542,-0.40483500,0.18889223,0.55353504,0.12160642,-0.41269408,0.27557445,-0.67176642,0.20976822,-0.24234786,-0.67467162,0.32807936,-0.03150157
5.96000000,-0.45632144,0.62421206,-0.40483607,0.18818146,0.55353504,0.12176399,-0.41338561,0.27560137,-0.67208680,0.20977892,-0.24314476,-0.67520176,0.32840681,-0.03146368
5.98000000,-0.45687047,0.62434477,-0.40483711,0.18749111,0.55353504,0.12191702,-0.41405725,0.27562751,-0.67239798,0.20978930,-0.24391874,-0.67571666,0.32872485,-0.03142688
